"Qty","Value","Part Num","Package","Parts"
"1","","*","1X05","JP1"
"25","","BREAKOUT","SMD1,27-2,54","!RST, +3.3V, ADC7, GND, GND1, GND2, PB1, PB2, PB3, PB4, PB5, PB6, PC0, PC1, PC2, PC3, PC4, PC5, PD0, PD1, PD3, PD5, PD6, PD7, VBUS"
"1","0R","0R 1206","RESC3115X70N","R4"
"1","1K5","1K5 0603","RESC1608X55N","R3"
"4","1uF","1UF X7R 0603","CAPC1608X92N","C1, C2, C3, C6"
"1","16MHz","16MHZ CRYSTAL TC26","TC26H","X1"
"2","22pF","22PF 0603","CAPC1608X92N","C4, C5"
"2","47R","47R 0603","RESC1608X55N","R1, R2"
"1","ATMEGA8-AI","ATMEGA8A-AU","TQFP32-08","U1"
"1","MCP1700/TT","MCP1700T-3302E/TT","SOT95P280X135-3N","U2"
"1","NC","NC 0805","CAPC2012X145AN","C7"
